"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"13671","Mark Andrews","TE","BAL",146.42,133.42,113.3,179.3,171.2,161.5,178.2,NA,9.1,172.7,113.3,126.6
"17473","Jadarian Price","RB","SEA",146.4,67.5,63.7,187.5,194.5,185.3,95.58,NA,14.3,213.2,63.7,66.8
"16414","Brandon Aubrey","K","DAL",145.08,185.24,87.4,174.26,117,45,141.93,47,9.7,39,87.4,83.2
"15779","Romeo Doubs","WR","NEP",144.52,126.52,132,178.2,148.7,163.9,172.41,NA,9.5,194.4,132,148
"12186","Stefon Diggs","WR","WAS",143.43,92.59,104.8,167,175.9,168.6,151.62,NA,10.99,186.4,104.8,102.4
"15761","Khalil Shakir","WR","BUF",143.12,124.46,130.8,154,171.8,172.6,185.42,NA,11.2,168.1,130.8,140
"12437","Jason Myers","K","SEA",142.17,200.14,121.8,190.2,109,42,150.97,46.3,9.1,28,121.8,114.2
"16620","Xavier Worthy","WR","KCC",141.86,130.66,129.1,162.4,178.4,165.1,156.66,NA,8.9,179.7,129.1,131.5
"16187","Josh Downs","WR","IND",140.68,88.28,106,174.2,158.7,162.7,147.12,NA,12.08,193.3,106,137.1
"14778","Tua Tagovailoa","QB","ATL",140.4,278.98,NA,145.26,115.32,143.96,239.73,NA,16.3,108.06,NA,170.1
"12860","Ka'imi Fairbairn","K","HOU",140.34,192.09,118.8,181.18,102,36,143.63,35.6,11.3,28,118.8,123.6
"15798","Isaiah Likely","TE","NYG",139.11,119.11,109.5,199.5,155.2,145.6,149.18,NA,6.4,187.2,109.5,122.3
"15979","Cameron Dicker","K","LAC",136.72,194.41,123.9,162.93,113,41,134.97,39.8,8.9,32,123.9,111.6
"15799","Jake Ferguson","TE","DAL",136.39,121.39,117.4,179.4,168.8,159.5,135.33,NA,9.6,174.1,117.4,112
"16080","Rashid Shaheed","WR","SEA",135.14,145.84,128.3,174.1,140.3,143.4,148.14,NA,6,202.9,128.3,160.8
"13319","Aaron Jones","RB","MIN",135.1,117.65,124.3,161.7,176.9,148,193.42,NA,12.5,122.5,124.3,115.1
"12676","Hunter Henry","TE","NEP",134.87,168.88,127.5,163.2,148.9,147.4,172.6,NA,9.4,167.7,127.5,153.1
"17514","De'Zhaun Stribling","WR","SFO",134.55,119.66,108.8,173.5,161.8,147.7,143.24,NA,3,185.6,108.8,138.5
"17499","Makai Lemon","WR","PHI",134.31,110.37,117.5,148.1,155.6,147.7,163.25,NA,2.6,195.7,117.5,133.6
"17075","Matthew Golden","WR","GBP",134.09,123.53,125.6,157.7,189.1,154.2,138.05,NA,5.5,160,125.6,113.9
"16213","Dalton Kincaid","TE","BUF",133.68,113.5,97.5,178.6,152.8,146.5,142.05,NA,9.8,172.3,97.5,131.2
"17066","Kyle Monangai","RB","CHI",133.21,120.28,110,157.3,170.9,137.7,155.38,NA,11.3,170.7,110,124.4
"14861","Juwan Johnson","TE","NOS",133.16,127.8,123.3,179.8,149.1,145.6,144.38,NA,9.4,179.1,123.3,157.6
"14136","Deebo Samuel","WR","SFO",131.86,140.23,127.3,176.9,151.4,131.5,NA,NA,10.5,192,127.3,144.1
"17501","KC Concepcion","WR","CLE",131.39,109.33,123.2,174.7,154.3,153.6,127.13,NA,4.9,182.1,123.2,147.6
"16269","Brenton Strange","TE","JAC",129.94,159.9,NA,181.4,142.9,132.1,157.65,NA,8.5,157.1,NA,168.1
"16846","Jake Bates","K","DET",129.04,219.7,137.9,165.03,102,47,158.85,51.2,9.7,54,137.9,156.8
"16843","Harrison Mevis","K","LAR",128.7,227.55,132.2,156.53,117,51,144.83,54.4,8.7,39,132.2,133.5
"15721","Rachaad White","RB","WAS",128.46,111.66,124.3,152.7,165.3,168.9,128.68,NA,6.6,152.6,124.3,126.8
"14833","Jerry Jeudy","WR","CLE",128.35,172.11,NA,171.4,142.1,133.5,138.33,NA,9.3,179.4,NA,168.9
"14717","Chase McLaughlin","K","TBB",127.43,227.71,139.3,160.26,97,38,133.28,38.3,7.9,38,139.3,170.2
"13719","Eddy Pineiro","K","SFO",127.43,208.48,NA,150.53,104,40,149.05,39.5,7.6,38,NA,141.8
"11945","Cairo Santos","K","CHI",126.53,218.6,NA,164.35,102,40,134.53,43.3,7.9,33,NA,169
"13113","Deshaun Watson","QB","CLE",126.39,290.77,NA,179.84,82.28,132.7,222.38,NA,15.4,73.5,NA,170.1
"16681","Will Reichard","K","MIN",125.73,251.16,NA,160.77,96,38,157.64,NA,10.4,35,NA,167.9
"17424","Charlie Smyth","K","NOS",124.63,280.15,NA,NA,NA,NA,125.84,NA,NA,30,NA,NA
"15255","Kenneth Gainwell","RB","TBB",124.61,96.52,120.1,191.4,180.3,148.4,104.24,NA,10,117.3,120.1,100.2
"17256","Jacory Croskey-Merritt","RB","WAS",124.53,114.54,106.4,146,160.5,141.2,146.91,NA,8.7,152.3,106.4,136.9
"16809","Jalen Coker","WR","CAR",123.48,125.45,133.4,167.6,147.8,130.1,120.75,NA,9,169.6,133.4,154.5
"13347","Zane Gonzalez","K","FA",123.42,271.27,NA,NA,NA,NA,131.56,NA,NA,29,NA,NA
"13629","Calvin Ridley","WR","TEN",122.95,209.55,NA,160.9,131.9,113.8,136.78,NA,7.2,187.1,NA,169.2
"15972","Jordan Mason","RB","MIN",122.8,113.5,112,157.3,153.6,131.3,124.9,NA,7.7,166,112,139.8
"14138","T.J. Hockenson","TE","MIN",122.77,187.02,128.2,130.8,160,133.8,136.02,NA,7.9,168.1,128.2,153.1
"16680","Cam Little","K","JAC",122.52,198.15,130.5,154.11,102,41,143.66,NA,7.2,49,130.5,140.7
"13772","Dalton Schultz","TE","HOU",121.61,162.06,NA,164.1,132.9,149.6,124.05,NA,8.3,150.7,NA,168.8
"17222","Tyler Loop","K","BAL",119.46,211.72,NA,145.99,106,44,137.63,NA,9.5,42,NA,165.6
"13354","Harrison Butker","K","KCC",117.99,243.58,129.5,152.07,103,40,136.33,NA,7.4,36,129.5,144
"12956","Wil Lutz","K","DEN",117.68,265.76,NA,149.27,92,46,139.95,NA,8.2,33,NA,169.6
"13633","Christian Kirk","WR","SFO",117.17,274.01,NA,108.5,NA,NA,117.8,NA,NA,125.2,NA,NA
"16597","Jonathon Brooks","RB","CAR",117.13,87.5,91.1,175.9,176.6,149.5,84.16,NA,8.7,116.3,91.1,104.7
